ID,Character,Image,Decomposition,Description
1,安,3653610.jpg,Compound 安  from building 宀 mián and  female 女 nǚ. (name- safe 安 ān),
2,安,3655161.jpg,Compound 安  from building 宀 mián and  female 女 nǚ. (name- safe 安 ān),
3,安,3655689.jpg,Compound 安  from building 宀 mián and  female 女 nǚ. (name- safe 安 ān),
4,八,3655818.jpg,Component 八丷 from (not- 人 rén) and  (not- 入 rù). (name- separation 丷八 bā),(- often indicating separation) (- number 8) (- new form font changed most context 八 to context 丷)  (- 兌 traditional 兑 simplified)
5,八,3656106.jpg,Component 八丷 from (not- 人 rén) and  (not- 入 rù). (name- separation 丷八 bā),(- often indicating separation) (- number 8) (- new form font changed most context 八 to context 丷)  (- 兌 traditional 兑 simplified)
6,巴,3656787.jpg,Component 巴 (name- person-kneeling-grabbing 巴 bā),(- 巴 man kneeling with hands grabbing something) (- 把爬耙筢岜) (- in most cases hands are relevant and recuses to ) (- kneeling person in 卮巵邑岊絕绝色) (- phonetic in 吧芭疤笆粑羓蚆笆鲃鈀钯靶爸肥皅舥杷)
7,巴,3656630.jpg,Component 巴 (name- person-kneeling-grabbing 巴 bā),(- 巴 man kneeling with hands grabbing something) (- 把爬耙筢岜) (- in most cases hands are relevant and recuses to ) (- kneeling person in 卮巵邑岊絕绝色) (- phonetic in 吧芭疤笆粑羓蚆笆鲃鈀钯靶爸肥皅舥杷)
8,巴,3657659.jpg,Component 巴 (name- person-kneeling-grabbing 巴 bā),(- 巴 man kneeling with hands grabbing something) (- 把爬耙筢岜) (- in most cases hands are relevant and recuses to ) (- kneeling person in 卮巵邑岊絕绝色) (- phonetic in 吧芭疤笆粑羓蚆笆鲃鈀钯靶爸肥皅舥杷)
9,巴,3657131.jpg,Component 巴 (name- person-kneeling-grabbing 巴 bā),(- 巴 man kneeling with hands grabbing something) (- 把爬耙筢岜) (- in most cases hands are relevant and recuses to ) (- kneeling person in 卮巵邑岊絕绝色) (- phonetic in 吧芭疤笆粑羓蚆笆鲃鈀钯靶爸肥皅舥杷)
10,癹,3657179.jpg,Compound 癹 hand-action 殳 shū and  two-feet-forward 癶𣥠 bō.,
11,白,3658708.jpg,Component 白 (name- white-moon 白 bái),"(- 白道, means the path of the moon)  (- later the moon indicated white and the sun 黃道 indicated yellow)"
12,百,3658973.jpg,Compound 百  from number-one 一 yī and  phonetic white-moon 白 bái.,
13,败,3658373.jpg,Compound 敗  from cowry (贝)貝 bèi and  hand-action 攵攴 pū.,
14,般,3659824.jpg,Compound 般  from boat 舟 zhōu and  hand-action 殳 shū (name- boat-control 般 bān).,
15,般,3700889.jpg,Compound 般  from boat 舟 zhōu and  hand-action 殳 shū (name- boat-control 般 bān).,
